time , queue density , dynamic density
2681,0.0768687,0.152762
2686,0.0728875,0.13115
2691,0.0677969,0.112638
2696,0.0574594,0.0942875
2701,0.0383844,0.0805531
2706,0.0267375,0.0564875
2711,0.0232094,0.0483406
2716,0.0248937,0.0479188
2721,0.0246906,0.0440969
2726,0.0243719,0.0435
2731,0.036225,0.0576438
2736,0.0472281,0.0743438
2741,0.0520625,0.0794094
2746,0.0516781,0.0799844
2751,0.0531063,0.0865469
2756,0.0541063,0.0852
2761,0.0553281,0.0919625
2766,0.0580906,0.0870594
2771,0.0598562,0.0832594
2776,0.0604063,0.0794437
2781,0.0599375,0.0773156
2786,0.0571125,0.0801687
2791,0.0555781,0.0724625
2796,0.0553375,0.0676281
2801,0.0573688,0.0614281
2806,0.0580156,0.0555
2811,0.0550563,0.0507
2816,0.0584937,0.0328562
2821,0.0592688,0.0239656
2826,0.0606312,0.0162594
2831,0.061275,0.0201687
2836,0.0597781,0.0323125
2841,0.0594812,0.0169812
2846,0.0596563,0.0124625
2851,0.0655469,0.0210469
2856,0.0741969,0.0372406
2861,0.0656781,0.0376875
2866,0.0608531,0.0193063
2871,0.0615781,0.0226594
2876,0.061625,0.0214438
2881,0.0622906,0.0194187
2886,0.0649594,0.0385969
2891,0.0680344,0.0338031
2896,0.0674,0.0269594
2901,0.067525,0.0267406
2906,0.0668875,0.025375
2911,0.0654375,0.0334156
2916,0.0664187,0.0282563
2921,0.0667187,0.0256625
2926,0.067725,0.0263781
2931,0.0687375,0.0290281
2936,0.0687531,0.0358969
2941,0.0725438,0.03615
2946,0.09065,0.0531875
2951,0.115481,0.0756375
2956,0.14,0.0950656
2961,0.164222,0.133484
2966,0.182256,0.146719
2971,0.199412,0.207584
2976,0.215859,0.243206
2981,0.228337,0.118922
2986,0.246344,0.223522
2991,0.265213,0.204934
2996,0.285366,0.129181
3001,0.297591,0.163391
3006,0.305891,0.176203
3011,0.314362,0.232128
3016,0.319387,0.234759
3021,0.326981,0.195284
3026,0.329728,0.182903
3031,0.324591,0.179841
3036,0.317322,0.198859
3041,0.313925,0.175281
3046,0.320912,0.153484
3051,0.318194,0.127081
3056,0.319294,0.108353
3061,0.325897,0.143266
3066,0.335816,0.116212
3071,0.339838,0.113047
3076,0.337316,0.124553
3081,0.334294,0.108078
3086,0.330259,0.125684
3091,0.339259,0.102353
3096,0.343922,0.086725
3101,0.344575,0.0776906
3106,0.339831,0.0716906
3111,0.332691,0.096325
3116,0.329584,0.0613969
3121,0.326831,0.0537906
3126,0.323319,0.0444531
3131,0.323284,0.0414844
3136,0.324797,0.0544094
3141,0.325784,0.0263594
3146,0.327828,0.0207062
3151,0.330066,0.0191625
3156,0.332584,0.0191562
3161,0.335069,0.0364563
3166,0.336684,0.0238781
3171,0.337403,0.0194156
3176,0.337509,0.0192844
3181,0.338578,0.0201531
3186,0.343181,0.0366563
3191,0.348156,0.0306156
3196,0.354822,0.0300188
3201,0.35815,0.0249031
3206,0.362122,0.020025
3211,0.363728,0.0299125
3216,0.364697,0.0186281
3221,0.365234,0.0129563
3226,0.367075,0.01
3231,0.368847,0.0098125
3236,0.362578,0.0224094
3241,0.364031,0.0100344
3246,0.363444,0.00709687
3251,0.364691,0.00734375
3256,0.365088,0.00536562
3261,0.367709,0.0137406
3266,0.370675,0.00705625
3271,0.372106,0.00784687
3276,0.372453,0.0110875
3281,0.371303,0.0123219
3286,0.365172,0.0192031
3291,0.365906,0.0140875
3296,0.366069,0.0116469
3301,0.366222,0.0117562
3306,0.367122,0.0126313
3311,0.361337,0.0171563
3316,0.360613,0.0121406
3321,0.358619,0.0105188
3326,0.358088,0.0123219
3331,0.359078,0.0122469
3336,0.356709,0.0170562
3341,0.358144,0.0129563
3346,0.359494,0.0127437
3351,0.360369,0.0121969
3356,0.362466,0.0127719
3361,0.360859,0.0187906
3366,0.360828,0.0159469
3371,0.359381,0.0117031
3376,0.359859,0.0112344
3381,0.360644,0.00744063
3386,0.360753,0.00844687
3391,0.361475,0.00873438
3396,0.361778,0.0134719
3401,0.362509,0.0149062
3406,0.366928,0.0157156
3411,0.367237,0.0172906
3416,0.366356,0.0117687
3421,0.367034,0.00793438
3426,0.367181,0.00658437
3431,0.367597,0.00444063
3436,0.372072,0.0114219
3441,0.372528,0.0068875
3446,0.372694,0.00772812
3451,0.373841,0.0106844
3456,0.375016,0.00898125
3461,0.375231,0.0118844
3466,0.375216,0.00850937
3471,0.372072,0.00448125
3476,0.369,0.00284062
3481,0.368447,0.00261562
3486,0.3651,0.0062375
3491,0.365384,0.0039125
3496,0.366166,0.00370625
3501,0.366762,0.00470312
3506,0.366359,0.00499063
3511,0.367588,0.00545
3516,0.368106,0.00320937
3521,0.368278,0.00175625
3526,0.367663,0.00161563
3531,0.367422,0.00163125
3536,0.364422,0.00404375
3541,0.364419,0.00280313
3546,0.36695,0.00392813
3551,0.37025,0.00515937
3556,0.371725,0.00480938
3561,0.370694,0.00615625
3566,0.370097,0.00502188
3571,0.371519,0.00605313
3576,0.37285,0.00433125
3581,0.374622,0.0037875
3586,0.375616,0.00351875
3591,0.376275,0.00366563
3596,0.369434,0.0061375
3601,0.367484,0.00328125
3606,0.367103,0.00309063
3611,0.367694,0.0047375
3616,0.370088,0.00764688
3621,0.371531,0.0164844
3626,0.371959,0.0132531
3631,0.3706,0.010275
3636,0.372653,0.0195031
3641,0.372544,0.0248531
3646,0.367834,0.0272125
3651,0.36835,0.0197063
3656,0.367522,0.0123594
3661,0.367963,0.00946875
3666,0.367997,0.0093
3671,0.365575,0.0132219
3676,0.365859,0.0120594
3681,0.367309,0.0133969
3686,0.369219,0.0145594
3691,0.37045,0.0109156
3696,0.369628,0.0133937
3701,0.368847,0.0284625
3706,0.369816,0.0362344
3711,0.370275,0.0384625
3716,0.371428,0.0342531
3721,0.370109,0.0363313
3726,0.371353,0.0312781
3731,0.371859,0.0255781
3736,0.371869,0.0246156
3741,0.37155,0.0244031
3746,0.369694,0.0262906
3751,0.368669,0.0236156
3756,0.368981,0.0182
3761,0.367831,0.0120062
3766,0.365978,0.0083125
3771,0.363334,0.0198531
3776,0.366356,0.0174594
3781,0.370534,0.0158438
3786,0.375206,0.0153906
3791,0.37835,0.0137594
3796,0.377941,0.0231531
3801,0.381256,0.0274906
3806,0.382859,0.0299219
3811,0.383931,0.0329156
3816,0.385453,0.0315875
3821,0.394919,0.0894313
3826,0.396969,0.0685875
3831,0.4001,0.0124844
3836,0.403672,0.0105156
3841,0.406356,0.0102437
3846,0.405881,0.0246656
3851,0.407637,0.0160687
3856,0.406894,0.0121281
3861,0.405156,0.0152719
3866,0.40455,0.0180406
3871,0.403694,0.0220438
3876,0.405728,0.016175
3881,0.405166,0.0162188
3886,0.4052,0.0161687
3891,0.406363,0.0156312
3896,0.400575,0.0291938
3901,0.401447,0.0260063
3906,0.409019,0.0181219
3911,0.410703,0.0124563
3916,0.410525,0.00992188
3921,0.407006,0.0144625
3926,0.408016,0.00935
3931,0.407091,0.00715937
3936,0.407709,0.00500625
3941,0.408803,0.00630625
3946,0.407894,0.0115063
3951,0.409981,0.00787188
3956,0.410809,0.00624062
3961,0.4104,0.00896875
